"공공체육시설별","자치구별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"육상경기장","노원구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","은평구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","은평구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","서대문구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","서대문구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","마포구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","마포구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","양천구","개소","개소","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"육상경기장","양천구","면적","㎡","27931","27931","13455","13455","22124","49327","49327","49327","49327","49327","49327","49327","49327","49327",
"육상경기장","강서구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","강서구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","구로구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","구로구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","금천구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","금천구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","영등포구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","영등포구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","동작구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","동작구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","관악구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","관악구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","서초구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","서초구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","강남구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","강남구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","송파구","개소","개소","2","2","2","2","2","2","2","2","2","2","2","2","2","2",
"육상경기장","송파구","면적","㎡","153099","153099","96369","96369","102210","200286","200286","200286","200286","200286","200286","200286","200286","200286",
"육상경기장","강동구","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","강동구","면적","㎡","","","","","","","","","","","0","-","-","-",
"육상경기장","기타(서울외)","개소","개소","","","","","","","","","","","0","-","-","-",
"육상경기장","기타(서울외)","면적","㎡","","","","","","","","","","","0","-","-","-",
"축구장","합계","개소","개소","61","62","61","62","64","65","69","72","74","73","72","68","69","73",
"축구장","합계","면적","㎡","979617","998585","1018375","1015428","1031512","1071023","1090844","1114842","1163412","1154917","616809.84","836301","880148","920590",
