"체육시설별","자치구별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"골프장","강북구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","도봉구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","도봉구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","노원구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","노원구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","은평구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","은평구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","서대문구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","서대문구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","마포구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","마포구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","양천구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","양천구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","강서구","시설수","개소","","","","","","","","","","1","1","1","1","1","1",
"골프장","강서구","면적","㎡","","","","","","","","","","998126","998126","998126","998126","998126","998126",
"골프장","구로구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","구로구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","금천구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","금천구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","영등포구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","영등포구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","동작구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","동작구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","관악구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","관악구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","서초구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","서초구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","강남구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","강남구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","송파구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","송파구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"골프장","강동구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"골프장","강동구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","서울시","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","서울시","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","종로구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","종로구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","중구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","중구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","용산구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","용산구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","성동구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","성동구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","광진구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","광진구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","동대문구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","동대문구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","중랑구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","중랑구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","성북구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","성북구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","강북구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","강북구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","도봉구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","도봉구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","노원구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","노원구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","은평구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","은평구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","서대문구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","서대문구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","마포구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","마포구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","양천구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","양천구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","강서구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","강서구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","구로구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","구로구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","금천구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","금천구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","영등포구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","영등포구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","동작구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","동작구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","관악구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","관악구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","서초구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","서초구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","강남구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","강남구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","송파구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","송파구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"스키장","강동구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"스키장","강동구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","서울시","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","서울시","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","종로구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","종로구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","중구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","중구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","용산구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","용산구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","성동구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","성동구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","광진구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","광진구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","동대문구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","동대문구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","중랑구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","중랑구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","성북구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","성북구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","강북구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","강북구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","도봉구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","도봉구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","노원구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","노원구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","은평구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","은평구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","서대문구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","서대문구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","마포구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","마포구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","양천구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","양천구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","강서구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","강서구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","구로구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","구로구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","금천구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","금천구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","영등포구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","영등포구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","동작구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","동작구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","관악구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","관악구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","서초구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","서초구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","강남구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","강남구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","송파구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","송파구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","강동구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"자동차경주장","강동구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","서울시","시설수","개소","","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"요트장","서울시","면적","㎡","","27620","27620","27620","27620","27620","27620","27620","27620","27620","1","27620","27620","27620","27620",
"요트장","종로구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","종로구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","중구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","중구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","용산구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","용산구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","성동구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","성동구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","광진구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","광진구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","동대문구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","동대문구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","중랑구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","중랑구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","성북구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","성북구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","강북구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","강북구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","도봉구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","도봉구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","노원구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","노원구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","은평구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","은평구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","서대문구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","서대문구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","마포구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","마포구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","양천구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","양천구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","강서구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","강서구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","구로구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","구로구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","금천구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","금천구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","영등포구","시설수","개소","","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"요트장","영등포구","면적","㎡","","27620","27620","27620","27620","27620","27620","27620","27620","27620","1","27620","27620","27620","27620",
"요트장","동작구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","동작구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","관악구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","관악구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","서초구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","서초구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","강남구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","강남구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","송파구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","송파구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"요트장","강동구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"요트장","강동구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","서울시","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","서울시","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","종로구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","종로구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","중구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","중구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","용산구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","용산구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","성동구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","성동구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","광진구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","광진구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","동대문구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","동대문구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","중랑구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","중랑구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","성북구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","성북구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","강북구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","강북구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","도봉구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","도봉구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","노원구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","노원구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","은평구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","은평구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","서대문구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","서대문구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","마포구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","마포구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","양천구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","양천구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","강서구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","강서구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","구로구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","구로구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","금천구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","금천구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","영등포구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","영등포구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","동작구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","동작구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","관악구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","관악구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","서초구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","서초구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","강남구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","강남구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","송파구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","송파구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"조정장","강동구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"조정장","강동구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"카누장","서울시","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"카누장","서울시","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"카누장","종로구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"카누장","종로구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"카누장","중구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"카누장","중구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"카누장","용산구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"카누장","용산구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"카누장","성동구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"카누장","성동구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"카누장","광진구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"카누장","광진구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"카누장","동대문구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"카누장","동대문구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"카누장","중랑구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"카누장","중랑구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"카누장","성북구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"카누장","성북구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
"카누장","강북구","시설수","개소","","","","","","","","","","","-","-","-","-","-",
"카누장","강북구","면적","㎡","","","","","","","","","","","-","-","-","-","-",
